train_id;service_number;reservation;tariff;service_mode;service_name;service_provider;information_provider;reservation_company;first_day;last_day;operation_days;second_service_number
1;1880;;;;;FLB;;;2024-12-05;2024-12-14;1111111111;
2;1881;;;;;FLB;;;2024-12-05;2024-12-14;1111111111;
3;1882;;;;;FLB;;;2024-12-05;2024-12-14;1111111111;
4;1883;;;;;FLB;;;2024-12-05;2024-12-14;1111111111;
5;1884;;;;;FLB;;;2024-12-05;2024-12-14;1111111111;
6;1885;;;;;FLB;;;2024-12-05;2024-12-14;1111111111;
7;1886;;;;;FLB;;;2024-12-05;2024-12-14;1111111111;
8;1887;;;;;FLB;;;2024-12-05;2024-12-14;1010111101;
9;1889;;;;;FLB;;;2024-12-06;2024-12-13;10100001;
