stop_id;function_code;uic_code;location_name;location_short_name;latitude;longitude;valid_from;valid_to;default_transfer_time;country;timezone_1;timezone_2;reservation_code
159;M;007601210;Hegra stasjon;;63.460976;11.103511;;;;00;;;
161;M;007600301;Nerdrum stasjon;;59.922932;11.141035;;;;00;;;
163;M;007600209;Frogner stasjon;;60.022866;11.103267;;;;00;;;
165;M;007601505;Holmestrand stasjon;;59.490316;10.310570;;;;00;;;
167;M;007602313;Nesbyen stasjon;;60.576724;9.113014;;;;00;;;
169;M;007602225;Ganddal stasjon;;58.823277;5.717169;;;;00;;;
170;M;007601810;Nordagutu stasjon;;59.418103;9.322557;;;;00;;;
172;M;007600606;Nittedal stasjon;;60.058288;10.864878;;;;00;;;
174;M;007600213;Hauerseter stasjon;;60.184630;11.195360;;;;00;;;
176;M;007600220;Oslo lufthavn stasjon;;60.192981;11.096735;;;;00;;;
178;M;007600308;Rånåsfoss stasjon;;60.029226;11.327921;;;;00;;;
180;M;007621200;Lademoen stasjon;;63.437226;10.416702;;;;00;;;
181;M;007600729;Hunderfossen stasjon;;61.223647;10.438605;;;;00;;;
182;M;007601341;Namsskogan stasjon;;64.925858;13.152432;;;;00;;;
184;M;007600501;Nordstrand stasjon;;59.863731;10.785608;;;;00;;;
186;M;007600610;Harestua stasjon;;60.205978;10.722439;;;;00;;;
188;M;007602228;Gausel stasjon;;58.899607;5.740223;;;;00;;;
190;M;007600503;Hauketo stasjon;;59.845877;10.802873;;;;00;;;
192;M;007600180;Nationaltheatret stasjon;;59.915390;10.728133;;;;00;;;
194;M;007621413;Gullhella stasjon;;59.806307;10.436636;;;;00;;;
196;M;007602184;Gyland stasjon;;58.384309;6.837409;;;;00;;;
198;M;007601813;Nisterud stasjon;;59.300468;9.484872;;;;00;;;
199;M;007601411;Hvalstad stasjon;;59.858888;10.461827;;;;00;;;
201;M;007602107;Gjerstad stasjon;;58.869947;9.022946;;;;00;;;
203;M;007602105;Neslandsvatn stasjon;;58.971348;9.156474;;;;00;;;
205;M;007601213;Gudå stasjon;;63.443824;11.618004;;;;00;;;
207;M;007610601;Nydalen stasjon;;59.951739;10.771783;;;;00;;;
209;M;007600626;Gjøvik stasjon;;60.797180;10.694316;;;;00;;;
210;M;007601406;Høvik stasjon;;59.901072;10.582718;;;;00;;;
212;M;007610201;Nyland stasjon;;59.943941;10.871645;;;;00;;;
214;M;007602217;Ogna stasjon;;58.519817;5.803262;;;;00;;;
216;M;007601020;Rognes stasjon;;63.004704;10.458553;;;;00;;;
218;M;007612329;Gjerdåker stasjon;;60.639413;6.463629;;;;00;;;
219;M;007600203;Høybråten stasjon;;59.948092;10.927655;;;;00;;;
220;M;007601107;Oppdal stasjon;;62.593111;9.694018;;;;00;;;
221;M;007602319;Geilo stasjon;;60.534557;8.206736;;;;00;;;
223;M;007601412;Høn stasjon;;59.843564;10.455776;;;;00;;;
225;M;007600506;Oppegård stasjon;;59.765454;10.812831;;;;00;;;
227;M;007602315;Gol stasjon;;60.699168;8.971230;;;;00;;;
229;M;007602360;Håreina stasjon;;60.839742;7.122689;;;;00;;;
231;M;007600916;Opphus stasjon;;61.331746;11.260506;;;;00;;;
233;M;007600904;Ilseng stasjon;;60.776943;11.222247;;;;00;;;
235;M;007601203;Ranheim stasjon;;63.427978;10.534298;;;;00;;;
236;M;007601008;Glåmos stasjon;;62.674525;11.416541;;;;00;;;
237;M;007601004;Os stasjon;;62.497287;11.227196;;;;00;;;
239;M;007600616;Jaren stasjon;;60.392768;10.556080;;;;00;;;
241;M;007600100;Oslo S;;59.910925;10.753276;;;;00;;;
243;M;007600615;Gran stasjon;;60.359020;10.569848;;;;00;;;
245;M;007600600;Tøyen stasjon;;59.920895;10.780583;;;;00;;;
247;M;007400712;Duved station;;63.389786;12.917580;;;;00;;;
249;M;007600601;Grefsen stasjon;;59.941666;10.780640;;;;00;;;
251;M;007600212;Jessheim stasjon;;60.142238;11.176717;;;;00;;;
253;M;007404341;Undersåker station;;63.315056;13.238595;;;;00;;;
255;M;007602325;Upsete stasjon;;60.725380;7.011496;;;;00;;;
256;M;007602142;Rise stasjon;;58.468521;8.623777;;;;00;;;
258;M;007401873;Järpen station;;63.342552;13.472234;;;;00;;;
260;M;007601325;Grong stasjon;;64.458309;12.337443;;;;00;;;
262;M;007602328;Urdland stasjon;;60.679561;6.592897;;;;00;;;
264;M;007601320;Jørstad stasjon;;64.206609;12.241623;;;;00;;;
266;M;007602320;Ustaoset stasjon;;60.496576;8.045222;;;;00;;;
267;M;007600202;Grorud stasjon;;59.949755;10.887813;;;;00;;;
269;M;007602230;Jåttåvågen stasjon;;58.913871;5.729129;;;;00;;;
270;M;007602337;Vaksdal stasjon;;60.478601;5.735231;;;;00;;;
271;M;007600612;Grua stasjon;;60.258903;10.664831;;;;00;;;
273;M;007611411;Vakås stasjon;;59.849712;10.467072;;;;00;;;
275;M;007601118;Kvål stasjon;;63.233360;10.279976;;;;00;;;
276;M;007601386;Valnesfjord stasjon;;67.299445;15.192010;;;;00;;;
277;M;007401318;Göteborg Centralstation;;57.709156;11.972901;;;;00;;;
278;M;007600507;Langhus stasjon;;59.749703;10.836629;;;;00;;;
280;M;007610607;Varingskollen stasjon;;60.105966;10.847299;;;;00;;;
282;M;007601304;Ronglan stasjon;;63.666292;11.113325;;;;00;;;
284;M;007602146;Arendal stasjon;;58.464838;8.769619;;;;00;;;
286;M;007600210;Lindeberg stasjon;;60.039449;11.128002;;;;00;;;
288;M;007600511;Vestby stasjon;;59.603817;10.748631;;;;00;;;
290;M;007610200;Alna stasjon;;59.932421;10.835269;;;;00;;;
292;M;007601200;Lilleby stasjon;;63.439884;10.432380;;;;00;;;
294;M;007601308;Verdal stasjon;;63.791013;11.484599;;;;00;;;
296;M;007600926;Alvdal stasjon;;62.108732;10.633052;;;;00;;;
298;M;007601201;Leangen stasjon;;63.437548;10.461623;;;;00;;;
299;M;007610506;Vevelstad stasjon;;59.756047;10.837594;;;;00;;;
301;M;007602342;Arna stasjon;;60.420097;5.466090;;;;00;;;
302;M;007600743;Otta stasjon;;61.772281;9.536819;;;;00;;;
303;M;007601117;Ler stasjon;;63.198941;10.298500;;;;00;;;
304;M;007601627;Vestfossen stasjon;;59.734316;9.867450;;;;00;;;
306;M;007400186;Arvika station;;59.653709;12.591206;;;;00;;;
308;M;007600801;Lesja stasjon;;62.118531;8.853838;;;;00;;;
310;M;007602110;Vegårshei stasjon;;58.760738;8.855721;;;;00;;;
312;M;007610204;Hanaborg stasjon;;59.938993;10.965481;;;;00;;;
313;M;007602220;Varhaug stasjon;;58.618358;5.646136;;;;00;;;
315;M;007600533;Askim stasjon;;59.581799;11.163343;;;;00;;;
317;M;007601306;Levanger stasjon;;63.744812;11.300468;;;;00;;;
319;M;007601204;Vikhammer stasjon;;63.438752;10.623685;;;;00;;;
320;M;007601413;Asker stasjon;;59.833343;10.434492;;;;00;;;
