ID;FromStopNumber;ToStopNumber;ASD_or_SER_or_TFF;Reservation_in_equipment;Equipment;Tariff_in_equipment
292;1;25;;;92;
293;1;25;;;92;
294;1;12;;;92;
295;1;14;;;92;
296;1;14;;;92;
297;1;21;;;92;
298;1;25;;;92;
299;1;25;;;92;
300;1;25;;;92;
301;1;10;;;162;
302;1;4;;;162;
303;1;3;;;162;
304;1;3;;;162;
305;1;3;;;162;
306;1;3;;;162;
307;1;3;;;162;
308;1;3;;;162;
309;1;3;;;162;
310;1;3;;;162;
311;1;2;;;162;
312;1;2;;;162;
313;1;11;;;162;
314;1;6;;;162;
315;1;7;;;162;
316;1;3;;;162;
317;1;3;;;162;
318;1;3;;;162;
319;1;3;;;162;
320;1;2;;;162;
321;1;3;;;162;
322;1;3;;;162;
323;1;25;;;92;
324;1;25;;;92;
325;1;25;;;92;
326;1;12;;;92;
327;1;14;;;92;
328;1;21;;;92;
329;1;25;;;92;
330;1;25;;;92;
331;1;25;;;92;
332;1;3;;;162;
333;1;10;;;162;
334;1;4;;;162;
335;1;3;;;162;
336;1;3;;;162;
337;1;3;;;162;
338;1;3;;;162;
339;1;3;;;162;
340;1;3;;;162;
341;1;3;;;162;
342;1;2;;;162;
343;1;2;;;162;
344;1;6;;;162;
345;1;7;;;162;
346;1;11;;;162;
347;1;3;;;162;
348;1;3;;;162;
349;1;3;;;162;
350;1;3;;;162;
351;1;3;;;162;
352;1;3;;;162;
353;1;2;;;162;
354;1;25;;;92;
355;1;28;;;92;
356;1;28;;;92;
357;1;14;;;92;
358;1;15;;;92;
359;1;28;;;92;
360;1;28;;;92;
361;1;2;;;162;
362;1;3;;;162;
363;1;3;;;162;
364;1;3;;;162;
365;1;3;;;162;
366;1;3;;;162;
367;1;3;;;162;
368;1;3;;;162;
369;1;3;;;162;
370;1;3;;;162;
371;1;11;;;162;
372;1;6;;;162;
373;1;7;;;162;
374;1;4;;;162;
375;1;10;;;162;
376;1;3;;;162;
377;1;3;;;162;
378;1;3;;;162;
379;1;2;;;162;
380;1;28;;;92;
381;1;28;;;92;
382;1;15;;;92;
383;1;14;;;92;
384;1;24;;;92;
385;1;28;;;92;
386;1;28;;;92;
387;1;10;;;162;
388;1;2;;;162;
389;1;2;;;162;
390;1;6;;;162;
391;1;3;;;162;
392;1;5;;;162;
393;1;4;;;162;
394;1;3;;;162;
395;1;3;;;162;
396;1;3;;;162;
397;1;3;;;162;
398;1;3;;;162;
399;1;3;;;162;
400;1;3;;;162;
401;1;2;;;162;
402;1;3;;;162;
403;1;2;;;162;
404;1;2;;;162;
405;1;5;;;162;
406;1;7;;;162;
407;1;11;;;162;
408;1;3;;;162;
409;1;3;;;162;
410;1;3;;;162;
411;1;3;;;162;
412;1;2;;;162;
413;1;3;;;162;
414;1;3;;;162;
415;1;2;;;162;
416;1;3;;;162;
417;1;2;;;162;
418;1;2;;;162;
419;1;28;;;92;
420;1;28;;;92;
421;1;28;;;92;
422;1;15;;;92;
423;1;11;;;92;
424;1;14;;;92;
425;1;14;;;92;
426;1;24;;;92;
427;1;28;;;92;
428;1;28;;;92;
429;1;28;;;92;
430;1;28;;;92;
431;1;11;;;162;
432;1;5;;;162;
433;1;3;;;162;
434;1;2;;;162;
435;1;2;;;162;
436;1;2;;;162;
437;1;2;;;162;
438;1;2;;;162;
439;1;7;;;162;
440;1;6;;;162;
441;1;10;;;162;
442;1;4;;;162;
443;1;3;;;162;
444;1;3;;;162;
445;1;3;;;162;
446;1;3;;;162;
447;1;3;;;162;
448;1;3;;;162;
449;1;3;;;162;
450;1;3;;;162;
451;1;3;;;162;
452;1;3;;;162;
453;1;3;;;162;
454;1;3;;;162;
455;1;3;;;162;
456;1;2;;;162;
457;1;3;;;162;
458;1;5;;;162;
459;1;3;;;162;
460;1;2;;;162;
461;1;2;;;162;
462;1;2;;;162;
463;1;28;;;92;
464;1;28;;;92;
465;1;28;;;92;
466;1;15;;;92;
467;1;14;;;92;
468;1;28;;;92;
469;1;2;;;162;
470;1;2;;;162;
471;1;6;;;162;
472;1;7;;;162;
473;1;2;;;162;
474;1;3;;;162;
475;1;3;;;162;
476;1;3;;;162;
477;1;3;;;162;
478;1;11;;;162;
479;1;3;;;162;
480;1;10;;;162;
481;1;4;;;162;
482;1;3;;;162;
483;1;3;;;162;
484;1;3;;;162;
485;1;3;;;162;
486;1;3;;;162;
487;1;3;;;162;
488;1;3;;;162;
489;1;2;;;162;
490;1;3;;;162;
491;1;2;;;162;
492;1;2;;;162;
493;1;5;;;162;
494;1;3;;;162;
495;1;2;;;162;
496;1;2;;;162;
497;1;5;;;162;
498;1;28;;;92;
499;1;27;;;92;
500;1;27;;;92;
501;1;27;;;92;
502;1;27;;;92;
503;1;27;;;92;
504;1;27;;;92;
505;1;27;;;92;
506;1;3;;;162;
507;1;2;;;162;
508;1;3;;;162;
509;1;3;;;162;
510;1;5;;;162;
511;1;2;;;162;
512;1;3;;;162;
513;1;2;;;162;
514;1;2;;;162;
515;1;10;;;162;
516;1;4;;;162;
517;1;3;;;162;
518;1;3;;;162;
519;1;3;;;162;
520;1;3;;;162;
521;1;3;;;162;
522;1;3;;;162;
523;1;3;;;162;
524;1;3;;;162;
525;1;5;;;162;
526;1;2;;;162;
527;1;3;;;162;
528;1;2;;;162;
529;1;2;;;162;
530;1;2;;;162;
531;1;2;;;162;
532;1;7;;;162;
533;1;6;;;162;
534;1;11;;;162;
535;1;3;;;162;
536;1;3;;;162;
537;1;3;;;162;
538;1;27;;;92;
539;1;14;;;92;
540;1;24;;;92;
541;1;14;;;92;
542;1;14;;;92;
543;1;14;;;92;
544;1;23;;;92;
545;1;14;;;92;
546;1;14;;;92;
547;1;3;;;162;
548;1;4;;;162;
549;1;3;;;162;
550;1;10;;;162;
551;1;4;;;162;
552;1;3;;;162;
553;1;3;;;162;
554;1;3;;;162;
555;1;3;;;162;
556;1;3;;;162;
557;1;3;;;162;
558;1;2;;;162;
559;1;6;;;162;
560;1;7;;;162;
561;1;2;;;162;
562;1;3;;;162;
563;1;3;;;162;
564;1;3;;;162;
565;1;3;;;162;
566;1;11;;;162;
567;1;4;;;162;
568;1;3;;;162;
569;1;2;;;162;
570;1;3;;;162;
571;1;27;;;92;
572;1;15;;;92;
573;1;15;;;92;
574;1;11;;;92;
575;1;15;;;92;
576;1;15;;;92;
577;1;15;;;92;
578;1;15;;;92;
579;1;15;;;92;
580;1;3;;;162;
581;1;3;;;162;
582;1;3;;;162;
583;1;2;;;162;
584;1;3;;;162;
585;1;3;;;162;
586;1;2;;;162;
587;1;2;;;162;
588;1;11;;;162;
589;1;7;;;162;
590;1;6;;;162;
591;1;3;;;162;
592;1;15;;;92;
593;1;14;;;92;
594;1;14;;;92;
595;1;14;;;92;
596;1;14;;;92;
597;1;15;;;92;
598;1;15;;;92;
599;1;29;;;101;
600;1;29;;;101;
601;1;29;;;101;
602;1;29;;;101;
603;1;24;;;101;
604;1;29;;;101;
605;1;29;;;92;
606;1;29;;;101;
607;1;3;;;162;
608;1;3;;;162;
609;1;2;;;162;
610;1;29;;;92;
611;1;10;;;92;
612;1;14;;;92;
613;1;11;;;92;
614;1;11;;;92;
615;1;9;;;;
616;1;9;;;;
617;1;2;;;162;
618;1;2;;;162;
619;1;2;;;162;
620;1;2;;;162;
621;1;2;;;162;
622;1;2;;;162;
623;1;2;;;162;
624;1;2;;;162;
625;1;2;;;162;
626;1;2;;;162;
627;1;2;;;162;
628;1;2;;;162;
629;1;2;;;162;
630;1;2;;;162;
631;1;2;;;162;
632;1;2;;;162;
633;1;2;;;162;
634;1;2;;;162;
635;1;2;;;162;
636;1;2;;;162;
637;1;2;;;162;
638;1;2;;;162;
639;1;2;;;162;
640;1;2;;;162;
641;1;2;;;162;
642;1;2;;;162;
643;1;2;;;162;
644;1;2;;;162;
645;1;2;;;162;
646;1;2;;;162;
647;1;2;;;162;
648;1;2;;;162;
649;1;2;;;162;
650;1;2;;;162;
651;1;2;;;162;
652;1;2;;;162;
653;1;9;;;;
654;1;9;;;;
655;1;2;;;162;
656;1;2;;;162;
657;1;2;;;162;
658;1;2;;;162;
659;1;2;;;162;
660;1;2;;;162;
661;1;2;;;162;
662;1;2;;;162;
663;1;2;;;162;
664;1;2;;;162;
665;1;2;;;162;
666;1;2;;;162;
667;1;2;;;162;
